bpw34_a_V,bpw34_b_V
0.00575,-0.010625
0.0,0.002375
-0.014,0.013125
0.022125,0.005375
0.014375,0.017875
0.0225,0.017625
0.0015,0.01075
0.027875,0.004875
0.003875,0.01925
0.020125,0.012375
0.020375,0.009625
0.029875,0.016875
0.024875,0.01425
0.020875,0.023
0.033875,0.031
0.047375,0.018125
0.049375,0.03175
0.01625,0.035375
0.016875,0.041875
0.021125,0.026625
0.057875,0.0335
0.02275,0.033125
0.037375,0.034625
0.047625,0.033625
0.059875,0.035875
0.036625,0.05625
0.03375,0.050625
0.035875,0.049375
0.059,0.0445
0.06925,0.061375
0.050375,0.052875
0.060625,0.051875
0.07,0.0525
0.081,0.06325
0.076625,0.055875
0.086125,0.066625
0.087625,0.062
0.061125,0.0705
0.064,0.066
0.058,0.0685
0.091125,0.080375
0.082625,0.071625
0.06575,0.09075
0.0665,0.085625
0.071125,0.0945
0.0965,0.095
0.086375,0.07975
0.090875,0.090625
0.095,0.096375
0.081625,0.0845
0.093375,0.1075
0.102375,0.09775
0.110875,0.10975
0.11425,0.103875
0.094125,0.1
0.125625,0.10275
0.1065,0.112
0.118125,0.113875
0.119125,0.12325
0.1135,0.1175
0.128,0.1205
0.108125,0.11125
0.103625,0.121875
0.13225,0.127375
0.113875,0.113875
0.133375,0.115375
0.1275,0.13625
0.143875,0.137375
0.120125,0.13975
0.138125,0.134375
0.13325,0.145625
0.140875,0.14225
0.1335,0.14625
0.135625,0.1375
0.130625,0.148375
0.159625,0.13525
0.150125,0.15625
0.13275,0.139
0.1475,0.154375
0.168375,0.150125
0.154,0.15875
0.155,0.164375
0.17375,0.15825
0.157375,0.15225
0.154875,0.157625
0.14875,0.168
0.168375,0.176125
0.189875,0.16225
0.173875,0.167125
0.164125,0.1785
0.194125,0.169125
0.165875,0.167625
0.195875,0.169375
0.165375,0.174625
0.184625,0.186125
0.1825,0.173
0.194375,0.18375
0.189875,0.179
0.197625,0.194875
0.183125,0.186
0.200375,0.1905
0.209625,0.203125
0.191875,0.205875
0.195,0.2075
0.2095,0.20275
0.207375,0.1925
0.223125,0.206
0.21275,0.213875
0.230375,0.206
0.22875,0.20925
0.226,0.22075
0.2095,0.218125
0.2195,0.216625
0.221125,0.228875
0.222625,0.230625
0.241375,0.232125
0.237875,0.216
0.24575,0.2235
0.234,0.222875
0.23975,0.228
0.229625,0.22725
0.253625,0.24075
0.244625,0.23925
0.24075,0.2385
0.2465,0.250875
0.239375,0.2485
0.2585,0.240375
0.259,0.2355
0.240875,0.2365
0.264625,0.23825
0.264125,0.257625
0.256375,0.246625
0.250125,0.26275
0.27275,0.2615
0.24825,0.248875
0.261375,0.264375
0.270875,0.25275
0.252375,0.271375
0.258875,0.267375
0.281,0.271
0.282,0.2815
0.273375,0.264
0.2855,0.269875
0.283375,0.286
0.286375,0.2695
0.268375,0.2775
0.274375,0.293125
0.273375,0.294125
0.303875,0.2855
0.291125,0.287125
0.281875,0.288375
0.29025,0.301375
0.31475,0.292125
0.3085,0.29225
0.293,0.29275
0.2985,0.29375
0.313,0.311375
0.2895,0.294625
0.3165,0.31
0.326625,0.30375
0.3095,0.307
0.328875,0.3195
0.33275,0.307875
0.323,0.30375
0.327125,0.310125
0.337625,0.320625
0.310375,0.321625
0.34425,0.315375
0.339875,0.323125
0.340375,0.319
0.332875,0.326375
0.3485,0.331625
0.3235,0.323625
0.331625,0.342
0.345,0.32525
0.331,0.337375
0.355,0.337625
0.347,0.332875
0.33675,0.351625
0.36875,0.353875
0.345375,0.346
0.35425,0.34325
0.356625,0.349375
0.35375,0.345375
0.347625,0.3595
0.344,0.357375
0.375625,0.35275
0.36325,0.352875
0.380625,0.35425
0.357375,0.365375
0.36975,0.3675
0.37175,0.378125
0.360375,0.364625
0.380375,0.37375
0.38975,0.373375
0.37375,0.378125
0.367125,0.381375
0.389875,0.388875
0.385625,0.375875
0.395875,0.3815
0.376875,0.38825
0.37575,0.3945
0.392125,0.38975
0.390625,0.384375
0.3865,0.383375
0.400375,0.39875
0.4155,0.401
0.3985,0.3915
0.413375,0.4095
0.40875,0.3975
0.4265,0.412875
0.42675,0.400375
0.409375,0.40775
0.407125,0.418875
0.429,0.410625
0.436625,0.40525
0.4075,0.42075
0.423125,0.42375
0.413875,0.417875
0.414,0.419875
0.43775,0.422125
0.416375,0.430875
0.42025,0.427
0.447375,0.42075
0.429625,0.44225
0.455625,0.426
0.4295,0.434
0.4515,0.44375
0.4575,0.446375
0.448125,0.44525
0.452625,0.45175
0.468375,0.443875
0.467875,0.45025
0.46175,0.4375
0.465375,0.4535
0.462,0.4555
0.469375,0.448
0.452125,0.46475
0.477125,0.447375
0.4505,0.46175
0.481125,0.457625
0.482,0.4605
0.457,0.45825
0.47825,0.47375
0.464375,0.4735
0.49725,0.476
0.4965,0.4675
0.482125,0.480125
0.477625,0.469
0.48,0.46875
0.470375,0.484375
0.503375,0.49325
0.49025,0.478125
0.480625,0.48125
0.502,0.478625
0.495625,0.49325
0.497,0.497875
0.50825,0.5015
0.508875,0.494625
0.500625,0.491125
0.525375,0.505
0.495,0.4965
0.528625,0.5115
0.505125,0.516375
0.502625,0.501125
0.535625,0.507125
0.51975,0.517875
0.51325,0.503375
0.51925,0.52425
0.541125,0.509125
0.5305,0.528875
0.545,0.519125
0.527375,0.522875
0.53225,0.51475
0.534125,0.522
0.5395,0.525
0.5345,0.539
0.55775,0.5275
0.556,0.52225
0.554,0.524375
0.555125,0.543375
0.530125,0.547625
0.539375,0.549875
0.539875,0.5455
0.5675,0.555
0.563625,0.54875
0.56375,0.539625
0.545625,0.54
0.5555,0.55675
0.559125,0.561875
0.57625,0.565875
0.5685,0.550875
0.577,0.562875
0.57325,0.56125
0.566,0.5565
0.5865,0.569375
0.588125,0.566125
0.5645,0.575625
0.57225,0.5755
0.592,0.568
0.599875,0.573
0.60225,0.56625
0.602,0.570125
0.592375,0.59
0.588375,0.574625
0.581375,0.5765
0.591,0.58
0.604,0.58575
0.592,0.582375
0.611875,0.585875
0.60925,0.60275
0.60575,0.588625
0.6005,0.588875
0.603875,0.60975
0.606,0.607125
0.59575,0.603
0.615375,0.6135
0.630875,0.6135
0.612125,0.619
0.615,0.60225
0.609,0.617125
0.62925,0.61325
0.633,0.606875
0.641875,0.61625
0.638625,0.628125
0.647625,0.632375
0.61675,0.61875
0.644625,0.633375
0.654625,0.637
0.6545,0.6385
0.63675,0.62125
0.631625,0.621875
0.634875,0.6245
0.638875,0.627875
0.66675,0.642375
0.658375,0.629375
0.647375,0.631875
0.660375,0.65325
0.6725,0.646
0.665625,0.653
0.676375,0.655375
0.68075,0.6415
0.676625,0.649125
0.666375,0.665625
0.66325,0.649875
0.685625,0.658375
0.668875,0.6585
0.68025,0.660625
0.6875,0.67325
0.664875,0.663375
0.695625,0.669125
0.67875,0.665875
0.698875,0.672375
0.674125,0.663375
