bpx65_a_V,bpx65_b_V
0.013125,-0.0135
0.003625,-0.008375
0.000125,0.01325
0.017,0.002125
0.0185,-0.00425
0.01975,0.006875
0.005375,0.02
0.030375,0.020875
0.012625,0.019375
0.021375,0.020375
0.03775,0.011125
0.038,0.023875
0.0395,0.030375
0.043125,0.040125
0.03075,0.04125
0.04275,0.045625
0.03225,0.032625
0.033375,0.030625
0.050125,0.0495
0.055125,0.058125
0.042625,0.0395
0.057875,0.048375
0.065125,0.054
0.053,0.057625
0.043875,0.05075
0.048125,0.0445
0.063,0.058875
0.066625,0.07225
0.057,0.067625
0.071125,0.074125
0.066875,0.05775
0.075125,0.061
0.0815,0.079375
0.0725,0.084
0.087625,0.07825
0.081,0.065625
0.077,0.066875
0.10025,0.0805
0.08725,0.07375
0.09575,0.0945
0.101875,0.078125
0.085375,0.098125
0.1015,0.099625
0.089125,0.09875
0.111,0.112875
0.105625,0.105
0.1195,0.116625
0.098875,0.103625
0.111125,0.114125
0.127,0.1075
0.125875,0.12525
0.107875,0.111375
0.13525,0.127625
0.138,0.125375
0.11325,0.1165
0.137125,0.11425
0.14525,0.13
0.134875,0.141625
0.12225,0.134375
0.129875,0.145875
0.126125,0.13425
0.129,0.142
0.14775,0.143125
0.148,0.156
0.155875,0.15375
0.151375,0.134
0.156375,0.1625
0.168375,0.158125
0.16625,0.1655
0.147375,0.143375
0.174375,0.17375
0.16175,0.15625
0.176625,0.163
0.178125,0.17925
0.1755,0.156875
0.182125,0.166875
0.182125,0.175
0.180125,0.172625
0.184375,0.181125
0.17025,0.179625
0.199125,0.1695
0.203,0.180875
0.199625,0.200375
0.184125,0.177
0.184125,0.1935
0.21,0.184875
0.196375,0.18675
0.20575,0.18425
0.217625,0.201
0.215125,0.20825
0.223375,0.18975
0.211875,0.20925
0.208375,0.19875
0.2065,0.212375
0.23025,0.22425
0.2145,0.222375
0.22,0.22275
0.224125,0.228
0.22075,0.21275
0.24125,0.21325
0.219875,0.219
0.244,0.217375
0.24625,0.236875
0.244375,0.22875
0.25625,0.2495
0.233,0.24525
0.24275,0.251125
0.26275,0.236875
0.25875,0.237
0.2455,0.258375
0.264875,0.257625
0.263375,0.248125
0.27575,0.24025
0.271875,0.264875
0.280875,0.264125
0.26325,0.273375
0.283875,0.26325
0.277875,0.252
0.27325,0.27225
0.27275,0.261125
0.281625,0.28625
0.281875,0.264125
0.2765,0.2675
0.29625,0.285375
0.293875,0.273125
0.2915,0.275875
0.306875,0.282625
0.28925,0.283875
0.311125,0.2815
0.286375,0.29625
0.314375,0.287875
0.320625,0.310875
0.314625,0.30425
0.30975,0.307125
0.30975,0.2915
0.324125,0.295125
0.30575,0.310625
0.327375,0.31775
0.317375,0.3015
0.332625,0.33025
0.332125,0.3285
0.3205,0.309125
0.343,0.30775
0.342,0.32575
0.348875,0.339125
0.336125,0.3385
0.344875,0.32625
0.3415,0.34725
0.357125,0.327875
0.354375,0.34925
0.344375,0.354625
0.36225,0.356875
0.344625,0.3485
0.370125,0.348625
0.35625,0.354875
0.3565,0.35025
0.376875,0.362125
0.37,0.341875
0.368375,0.359125
0.375875,0.36775
0.386875,0.374
0.361125,0.369
0.385375,0.36175
0.374,0.360375
0.38175,0.368125
0.379875,0.372375
0.387625,0.38525
0.388,0.39175
0.385875,0.37775
0.39925,0.39
0.4085,0.3875
0.39725,0.398
0.395875,0.381875
0.399,0.4035
0.41525,0.387875
0.40275,0.38825
0.4115,0.403
0.41725,0.4045
0.417375,0.3985
0.406375,0.40025
0.431625,0.417875
0.43525,0.412375
0.42075,0.41075
0.418125,0.4045
0.417,0.41475
0.440375,0.422125
0.420875,0.420125
0.446,0.415625
0.452375,0.41875
0.452,0.436375
0.4485,0.41625
0.43875,0.423375
0.4465,0.433625
0.4525,0.44425
0.46575,0.43825
0.449375,0.435875
0.450375,0.4415
0.45725,0.461
0.46,0.457375
0.475,0.437625
0.4695,0.442625
0.460125,0.4685
0.481875,0.4725
0.4605,0.46225
0.489875,0.45675
0.469875,0.46475
0.46925,0.47875
0.481375,0.479875
0.478,0.477625
0.4965,0.4775
0.489625,0.4775
0.4775,0.473875
0.487,0.49025
0.499375,0.493625
0.49875,0.476125
0.486125,0.49925
0.49825,0.493875
0.498875,0.5025
0.493375,0.4835
0.524,0.481
0.508625,0.489125
0.4995,0.50775
0.528375,0.491875
0.5095,0.494
0.536125,0.4995
0.518,0.50425
0.531125,0.505
0.532875,0.52875
0.533125,0.511
0.530125,0.52625
0.5315,0.531375
0.526125,0.5315
0.5255,0.539375
0.531875,0.534125
0.556125,0.531125
0.558625,0.5215
0.55025,0.5455
0.540375,0.537125
0.558375,0.534
0.556,0.53725
0.570625,0.557625
0.572,0.534625
0.564625,0.542625
0.577625,0.552
0.581875,0.550875
0.582625,0.54675
0.581125,0.556375
0.5805,0.5505
0.586,0.557375
0.585375,0.549125
0.5815,0.56625
0.595,0.555125
0.579125,0.584
0.592125,0.567875
0.584375,0.566125
0.604625,0.577125
0.6095,0.585625
0.607125,0.583
0.59625,0.582875
0.602375,0.573375
0.61825,0.59975
0.60125,0.593
0.593375,0.583125
0.613125,0.604375
0.62,0.59675
0.61075,0.60625
0.618625,0.610875
0.622625,0.605625
0.615125,0.619125
0.62025,0.614375
0.6145,0.598
0.623,0.604625
0.63375,0.609875
0.62075,0.628625
0.627125,0.624875
0.636,0.620625
0.6515,0.609375
0.65425,0.63425
0.648125,0.612875
0.6515,0.627875
0.64525,0.627875
0.660125,0.62
0.643625,0.648375
0.66375,0.642
0.657,0.647375
0.651375,0.6565
0.666625,0.632875
0.666375,0.6405
0.658875,0.663
0.659375,0.64275
0.68225,0.6535
0.683625,0.659
0.69125,0.648
0.6715,0.658375
0.676,0.66925
0.69425,0.663
0.685125,0.6745
0.685125,0.67175
0.677875,0.68275
0.681375,0.6855
0.700125,0.679125
0.704375,0.664625
0.68825,0.684125
0.701375,0.674875
0.69525,0.699375
0.706625,0.691875
0.704125,0.696
0.70925,0.699375
0.699875,0.67875
0.73,0.7065
0.707,0.6935
0.7165,0.701375
0.730375,0.6955
0.7165,0.71125
0.724375,0.69725
0.71925,0.6975
0.72525,0.7175
0.739375,0.715125
0.74575,0.7255
0.751,0.705125
0.736,0.723875
0.746625,0.726375
0.73325,0.7145
0.75225,0.740125
0.73425,0.743
0.7535,0.733875
0.749,0.735
0.7515,0.740125
0.76775,0.742875
0.749875,0.735375
0.775875,0.73525
0.768625,0.738
0.776,0.749875
0.767625,0.761875
0.775375,0.752
0.77575,0.741375
0.771625,0.746
0.789,0.7505
0.779,0.758875
0.775375,0.75775
0.78475,0.759875
0.79875,0.779375
0.78575,0.764125
0.778625,0.77325
0.795875,0.7755
0.80775,0.7815
0.79425,0.774125
0.798375,0.78275
0.802125,0.778875
0.79925,0.773875
0.795875,0.796625
0.8215,0.802125
0.822625,0.7765
0.82,0.79425
0.818875,0.792
0.81525,0.796875
0.81525,0.8115
0.819375,0.815
0.81375,0.7995
0.825625,0.80775
0.817,0.794875
0.824875,0.804375
0.820875,0.817
0.83875,0.816125
0.853125,0.81125
0.844625,0.806
0.841625,0.82925
0.840375,0.82
0.835875,0.814375
0.84575,0.8245
0.841875,0.813875
0.851,0.82675
0.8695,0.82925
0.866375,0.836375
0.8715,0.84575
0.848625,0.828875
0.878625,0.85025
0.881125,0.8585
0.864375,0.83975
0.8725,0.836625
0.865625,0.84925
0.8805,0.84325
0.869,0.851625
0.875625,0.859875
0.87875,0.849
0.893375,0.853875
0.874875,0.855
0.88725,0.857375
0.906875,0.878625
0.9,0.87575
0.9025,0.875125
0.902,0.864375
0.886625,0.887125
0.9055,0.892625
0.898625,0.87875
0.916,0.89425
0.896,0.8725
0.899,0.8965
0.903125,0.888875
0.930625,0.902125
0.925,0.893875
0.927625,0.89275
0.912125,0.88375
0.932125,0.90225
0.93975,0.891875
0.92375,0.915875
0.938,0.89425
0.9265,0.91225
0.92275,0.9125
0.944375,0.926625
0.943125,0.92175
0.9375,0.932
0.9495,0.924875
0.9425,0.916125
0.9565,0.931875
0.95975,0.938125
0.943375,0.9375
0.95775,0.920125
0.945125,0.9295
0.9545,0.928125
0.950375,0.94625
0.95075,0.952375
0.9775,0.948
0.954375,0.929
0.965625,0.936
0.96175,0.934125
0.982375,0.941375
0.991125,0.938125
0.982,0.959
0.967875,0.953875
0.9705,0.96275
0.9725,0.959625
0.99775,0.9705
0.98325,0.95225
1.00075,0.9715
1.001875,0.959375
0.9995,0.971125
0.98875,0.98225
1.00525,0.961625
0.99625,0.965875
1.020125,0.972625
1.01925,0.976
1.006875,0.983875
1.008375,0.97275
1.021125,0.99125
1.018625,0.97675
1.004375,0.99825
1.017375,0.99325
1.03875,0.982875
1.023875,1.012
1.03975,0.995875
1.019375,1.0045
1.03875,1.01575
1.021375,1.021375
1.04625,1.004875
1.03375,0.99825
1.05475,1.020875
1.03075,1.018125
1.051125,1.004625
1.04525,1.013125
1.0615,1.017
1.061125,1.02425
1.067375,1.02675
1.049125,1.01725
1.067375,1.033
1.067875,1.028375
1.05975,1.042625
1.07025,1.031625
1.07425,1.040875
1.074,1.053875
1.067875,1.036375
1.05875,1.031625
1.08775,1.051375
1.08475,1.039875
1.072625,1.057375
1.08075,1.0555
1.09825,1.057875
1.083375,1.069875
1.09475,1.063125
1.08775,1.054125
1.100625,1.058875
1.092625,1.06125
1.088,1.0575
1.089875,1.062875
1.090875,1.063125
1.117375,1.06475
1.1015,1.061125
1.11525,1.092375
1.110125,1.09325
1.1125,1.083125
1.1135,1.0925
1.12225,1.074375
1.1075,1.09875
1.1135,1.097875
1.11325,1.096625
1.12275,1.08375
1.122625,1.105625
1.142,1.09625
1.123375,1.10925
1.12575,1.11025
1.124625,1.091
1.125,1.094625
1.13825,1.120125
1.139125,1.1255
1.141875,1.11825
1.145875,1.111625
1.154125,1.107125
1.1445,1.124
1.15575,1.11325
1.165125,1.123875
1.170625,1.14
1.15375,1.139
1.16,1.125
1.156625,1.127375
1.173,1.12725
1.163,1.12425
1.16,1.124375
1.159125,1.151375
1.17725,1.154875
1.189875,1.131625
1.16775,1.147125
1.174375,1.153125
1.196,1.151625
