idx,die_code,sleep_pct,load1,load2,tmp0,tmp1,tmp2,tmp3,bpx65_a,bpx65_b,bpw34_a,bpw34_b,n3163_a,n3163_b,adr4525,psram,fram,eeprom
0,35,94,1,1,-1423,-1116,-1649,-899,105,-108,46,-85,0,0,20477,1,1,5
1,35,96,1,0,-1411,-1113,-1651,-891,29,-67,0,19,0,0,20482,3,5,2
2,35,98,1,0,-1415,-1106,-1643,-882,1,106,-112,105,0,0,20476,2,2,5
3,35,96,1,0,-1417,-1105,-1633,-889,136,17,177,43,0,0,20482,5,5,4
4,35,97,1,0,-1407,-1096,-1631,-889,148,-34,115,143,0,0,20485,4,1,3
5,35,97,1,0,-1412,-1089,-1631,-887,158,55,180,141,0,0,20477,2,1,5
6,35,94,1,0,-1410,-1090,-1634,-882,43,160,12,86,0,0,20474,1,4,3
7,35,95,1,0,-1404,-1086,-1633,-875,243,167,223,39,0,0,20484,5,5,2
8,35,96,1,1,-1395,-1097,-1628,-879,101,155,31,154,0,0,20473,4,5,2
9,35,97,1,0,-1400,-1083,-1623,-866,171,163,161,99,0,0,20487,5,2,3
10,35,96,1,0,-1399,-1082,-1622,-865,302,89,163,77,0,0,20478,5,4,2
11,35,96,1,0,-1383,-1085,-1617,-871,304,191,239,135,0,0,20478,4,4,1
12,35,94,1,0,-1383,-1073,-1619,-861,316,243,199,114,0,1,20487,2,5,5
13,35,98,1,0,-1378,-1083,-1619,-865,345,321,167,184,0,0,20472,3,3,4
14,35,97,1,0,-1376,-1069,-1606,-860,246,330,271,248,0,0,20480,1,3,3
15,35,97,1,0,-1374,-1074,-1619,-857,342,365,379,145,0,0,20481,5,5,4
16,35,98,1,1,-1374,-1080,-1615,-862,258,261,395,254,0,0,20486,4,5,4
17,35,96,1,0,-1370,-1066,-1612,-860,267,245,130,283,0,0,20474,4,4,4
18,35,96,1,0,-1378,-1065,-1607,-851,401,396,135,335,0,0,20478,1,4,4
19,35,94,1,0,-1378,-1069,-1596,-854,441,465,169,213,0,0,20484,1,3,4
20,35,96,1,0,-1377,-1068,-1598,-849,341,316,463,268,0,0,20474,4,1,1
21,35,98,1,0,-1374,-1060,-1600,-846,463,387,182,265,0,0,20487,4,3,5
22,35,96,1,0,-1357,-1057,-1593,-834,521,432,299,277,0,0,20480,1,2,3
23,35,95,1,0,-1355,-1056,-1600,-837,424,461,381,269,0,0,20488,2,2,3
24,35,96,1,1,-1360,-1057,-1583,-842,351,406,479,287,0,0,20487,2,1,4
25,35,98,1,0,-1363,-1052,-1583,-826,385,356,293,450,0,0,20481,3,1,5
26,35,97,1,0,-1355,-1052,-1593,-832,504,471,270,405,0,0,20483,5,2,4
27,35,96,1,0,-1348,-1042,-1592,-831,533,578,287,395,1,0,20486,3,5,2
28,35,97,1,0,-1359,-1043,-1582,-821,456,541,472,356,0,0,20487,1,1,4
