uptime_s,die_temp_C,sleep_pct,load1,load2,tmp117_0_C,tmp117_1_C,tmp117_2_C,tmp117_3_C,bpx65_a_V,bpx65_b_V,bpw34_a_V,bpw34_b_V,n3163_a,n3163_b,adr4525_V
0,-5,94,1,1,-11.1172,-8.7188,-12.8828,-7.0234,0.013125,-0.0135,0.00575,-0.010625,0,0,2.559625
1,-5,96,1,0,-11.0234,-8.6953,-12.8984,-6.9609,0.003625,-0.008375,0.0,0.002375,0,0,2.56025
2,-5,98,1,0,-11.0547,-8.6406,-12.8359,-6.8906,0.000125,0.01325,-0.014,0.013125,0,0,2.5595
3,-5,96,1,0,-11.0703,-8.6328,-12.7578,-6.9453,0.017,0.002125,0.022125,0.005375,0,0,2.56025
4,-5,97,1,0,-10.9922,-8.5625,-12.7422,-6.9453,0.0185,-0.00425,0.014375,0.017875,0,0,2.560625
5,-5,97,1,0,-11.0312,-8.5078,-12.7422,-6.9297,0.01975,0.006875,0.0225,0.017625,0,0,2.559625
6,-5,94,1,0,-11.0156,-8.5156,-12.7656,-6.8906,0.005375,0.02,0.0015,0.01075,0,0,2.55925
7,-5,95,1,0,-10.9688,-8.4844,-12.7578,-6.8359,0.030375,0.020875,0.027875,0.004875,0,0,2.5605
8,-5,96,1,1,-10.8984,-8.5703,-12.7188,-6.8672,0.012625,0.019375,0.003875,0.01925,0,0,2.559125
9,-5,97,1,0,-10.9375,-8.4609,-12.6797,-6.7656,0.021375,0.020375,0.020125,0.012375,0,0,2.560875
10,-5,96,1,0,-10.9297,-8.4531,-12.6719,-6.7578,0.03775,0.011125,0.020375,0.009625,0,0,2.55975
11,-5,96,1,0,-10.8047,-8.4766,-12.6328,-6.8047,0.038,0.023875,0.029875,0.016875,0,0,2.55975
12,-5,94,1,0,-10.8047,-8.3828,-12.6484,-6.7266,0.0395,0.030375,0.024875,0.01425,0,1,2.560875
13,-5,98,1,0,-10.7656,-8.4609,-12.6484,-6.7578,0.043125,0.040125,0.020875,0.023,0,0,2.559
14,-5,97,1,0,-10.75,-8.3516,-12.5469,-6.7188,0.03075,0.04125,0.033875,0.031,0,0,2.56
15,-5,97,1,0,-10.7344,-8.3906,-12.6484,-6.6953,0.04275,0.045625,0.047375,0.018125,0,0,2.560125
16,-5,98,1,1,-10.7344,-8.4375,-12.6172,-6.7344,0.03225,0.032625,0.049375,0.03175,0,0,2.56075
17,-5,96,1,0,-10.7031,-8.3281,-12.5938,-6.7188,0.033375,0.030625,0.01625,0.035375,0,0,2.55925
18,-5,96,1,0,-10.7656,-8.3203,-12.5547,-6.6484,0.050125,0.0495,0.016875,0.041875,0,0,2.55975
19,-5,94,1,0,-10.7656,-8.3516,-12.4688,-6.6719,0.055125,0.058125,0.021125,0.026625,0,0,2.5605
20,-5,96,1,0,-10.7578,-8.3438,-12.4844,-6.6328,0.042625,0.0395,0.057875,0.0335,0,0,2.55925
21,-5,98,1,0,-10.7344,-8.2812,-12.5,-6.6094,0.057875,0.048375,0.02275,0.033125,0,0,2.560875
22,-5,96,1,0,-10.6016,-8.2578,-12.4453,-6.5156,0.065125,0.054,0.037375,0.034625,0,0,2.56
23,-5,95,1,0,-10.5859,-8.25,-12.5,-6.5391,0.053,0.057625,0.047625,0.033625,0,0,2.561
24,-5,96,1,1,-10.625,-8.2578,-12.3672,-6.5781,0.043875,0.05075,0.059875,0.035875,0,0,2.560875
25,-5,98,1,0,-10.6484,-8.2188,-12.3672,-6.4531,0.048125,0.0445,0.036625,0.05625,0,0,2.560125
26,-5,97,1,0,-10.5859,-8.2188,-12.4453,-6.5,0.063,0.058875,0.03375,0.050625,0,0,2.560375
27,-5,96,1,0,-10.5312,-8.1406,-12.4375,-6.4922,0.066625,0.07225,0.035875,0.049375,1,0,2.56075
28,-5,97,1,0,-10.6172,-8.1484,-12.3594,-6.4141,0.057,0.067625,0.059,0.0445,0,0,2.560875
29,-5,98,1,0,-10.5078,-8.1641,-12.3359,-6.4062,0.071125,0.074125,0.06925,0.061375,0,0,2.559875
30,-5,94,1,0,-10.4609,-8.1797,-12.3828,-6.3672,0.066875,0.05775,0.050375,0.052875,0,0,2.560125
31,-5,94,1,0,-10.5,-8.0938,-12.25,-6.3984,0.075125,0.061,0.060625,0.051875,0,0,2.560875
32,-4,95,1,1,-10.4219,-8.125,-12.3359,-6.4062,0.0815,0.079375,0.07,0.0525,0,0,2.56025
33,-4,97,1,0,-10.5078,-8.1172,-12.3125,-6.3281,0.0725,0.084,0.081,0.06325,0,0,2.560875
34,-4,97,1,0,-10.4922,-7.9844,-12.2656,-6.2969,0.087625,0.07825,0.076625,0.055875,0,0,2.559625
35,-4,98,1,0,-10.4688,-7.9766,-12.1953,-6.2891,0.081,0.065625,0.086125,0.066625,0,0,2.560375
36,-4,97,1,0,-10.4219,-7.9922,-12.2266,-6.3125,0.077,0.066875,0.087625,0.062,0,0,2.559625
37,-4,96,1,0,-10.4297,-8.0391,-12.2422,-6.3438,0.10025,0.0805,0.061125,0.0705,0,0,2.559375
38,-4,96,1,0,-10.3203,-7.9609,-12.1641,-6.3125,0.08725,0.07375,0.064,0.066,0,0,2.560625
39,-4,95,1,0,-10.3359,-7.9609,-12.1328,-6.25,0.09575,0.0945,0.058,0.0685,0,0,2.55975
40,-4,97,1,1,-10.375,-7.9766,-12.0781,-6.2734,0.101875,0.078125,0.091125,0.080375,0,0,2.5605
41,-4,96,1,0,-10.2734,-7.9688,-12.0703,-6.1875,0.085375,0.098125,0.082625,0.071625,0,0,2.559
42,-4,97,1,0,-10.25,-7.8516,-12.1406,-6.1953,0.1015,0.099625,0.06575,0.09075,0,0,2.55975
43,-4,98,1,0,-10.2734,-7.8828,-12.1406,-6.1484,0.089125,0.09875,0.0665,0.085625,0,0,2.560625
44,-4,98,1,0,-10.2031,-7.8203,-12.125,-6.2031,0.111,0.112875,0.071125,0.0945,0,0,2.561
45,-4,96,1,0,-10.25,-7.8438,-12.0156,-6.1562,0.105625,0.105,0.0965,0.095,0,0,2.560625
46,-4,95,1,0,-10.2734,-7.875,-12.0156,-6.1875,0.1195,0.116625,0.086375,0.07975,0,0,2.559875
47,-4,95,1,0,-10.2031,-7.8359,-11.9453,-6.0938,0.098875,0.103625,0.090875,0.090625,0,0,2.559
