tmp117_0_C,tmp117_1_C,tmp117_2_C,tmp117_3_C
-11.1172,-8.7188,-12.8828,-7.0234
-11.0234,-8.6953,-12.8984,-6.9609
-11.0547,-8.6406,-12.8359,-6.8906
-11.0703,-8.6328,-12.7578,-6.9453
-10.9922,-8.5625,-12.7422,-6.9453
-11.0312,-8.5078,-12.7422,-6.9297
-11.0156,-8.5156,-12.7656,-6.8906
-10.9688,-8.4844,-12.7578,-6.8359
-10.8984,-8.5703,-12.7188,-6.8672
-10.9375,-8.4609,-12.6797,-6.7656
-10.9297,-8.4531,-12.6719,-6.7578
-10.8047,-8.4766,-12.6328,-6.8047
-10.8047,-8.3828,-12.6484,-6.7266
-10.7656,-8.4609,-12.6484,-6.7578
-10.75,-8.3516,-12.5469,-6.7188
-10.7344,-8.3906,-12.6484,-6.6953
-10.7344,-8.4375,-12.6172,-6.7344
-10.7031,-8.3281,-12.5938,-6.7188
-10.7656,-8.3203,-12.5547,-6.6484
-10.7656,-8.3516,-12.4688,-6.6719
-10.7578,-8.3438,-12.4844,-6.6328
-10.7344,-8.2812,-12.5,-6.6094
-10.6016,-8.2578,-12.4453,-6.5156
-10.5859,-8.25,-12.5,-6.5391
-10.625,-8.2578,-12.3672,-6.5781
-10.6484,-8.2188,-12.3672,-6.4531
-10.5859,-8.2188,-12.4453,-6.5
-10.5312,-8.1406,-12.4375,-6.4922
-10.6172,-8.1484,-12.3594,-6.4141
-10.5078,-8.1641,-12.3359,-6.4062
-10.4609,-8.1797,-12.3828,-6.3672
-10.5,-8.0938,-12.25,-6.3984
-10.4219,-8.125,-12.3359,-6.4062
-10.5078,-8.1172,-12.3125,-6.3281
-10.4922,-7.9844,-12.2656,-6.2969
-10.4688,-7.9766,-12.1953,-6.2891
-10.4219,-7.9922,-12.2266,-6.3125
-10.4297,-8.0391,-12.2422,-6.3438
-10.3203,-7.9609,-12.1641,-6.3125
-10.3359,-7.9609,-12.1328,-6.25
-10.375,-7.9766,-12.0781,-6.2734
-10.2734,-7.9688,-12.0703,-6.1875
-10.25,-7.8516,-12.1406,-6.1953
-10.2734,-7.8828,-12.1406,-6.1484
-10.2031,-7.8203,-12.125,-6.2031
-10.25,-7.8438,-12.0156,-6.1562
-10.2734,-7.875,-12.0156,-6.1875
-10.2031,-7.8359,-11.9453,-6.0938
-10.2188,-7.7344,-12.0391,-6.125
-10.1562,-7.75,-11.9453,-6.0547
-10.0859,-7.7031,-11.9297,-6.0234
-10.0781,-7.7891,-11.9688,-6.0391
-10.1641,-7.6953,-11.9453,-5.9844
-10.1406,-7.7344,-11.9062,-5.9766
-10.0547,-7.6484,-11.8516,-6.0156
-10.0469,-7.7031,-11.8359,-5.9062
-10.0078,-7.6641,-11.8047,-6.0
-10.0078,-7.5781,-11.8516,-5.9766
-10.0234,-7.5625,-11.7891,-5.8594
-10.0,-7.5781,-11.7891,-5.9375
-9.9922,-7.6094,-11.7656,-5.8516
-9.8906,-7.4844,-11.7969,-5.875
-9.8984,-7.5469,-11.7734,-5.8359
-9.9141,-7.4844,-11.6875,-5.8438
-9.9453,-7.5391,-11.6562,-5.7891
-9.8359,-7.5,-11.6953,-5.7891
-9.9062,-7.5078,-11.6953,-5.7266
-9.8438,-7.4766,-11.6641,-5.7812
-9.7891,-7.4688,-11.6094,-5.7422
-9.8125,-7.4531,-11.6406,-5.7109
-9.7422,-7.3125,-11.5547,-5.6328
-9.6953,-7.3906,-11.5859,-5.5938
-9.6719,-7.2734,-11.5469,-5.6875
-9.7344,-7.3047,-11.4531,-5.6172
-9.6562,-7.3594,-11.4375,-5.5469
-9.7266,-7.25,-11.5156,-5.5469
-9.6562,-7.2422,-11.4688,-5.5703
-9.6562,-7.2422,-11.4375,-5.5234
-9.6328,-7.2422,-11.3828,-5.5078
-9.6406,-7.1406,-11.375,-5.4688
-9.5859,-7.1406,-11.4297,-5.4453
-9.5,-7.2109,-11.4219,-5.4531
-9.4844,-7.0938,-11.3828,-5.4219
-9.4766,-7.1562,-11.3828,-5.4219
-9.4453,-7.125,-11.3047,-5.4453
-9.4375,-7.0469,-11.3203,-5.375
-9.5,-7.0156,-11.2656,-5.3047
-9.3984,-7.0859,-11.2344,-5.3516
-9.4375,-7.0781,-11.2188,-5.3281
-9.3594,-7.0,-11.2031,-5.3125
-9.3438,-6.9609,-11.1484,-5.25
-9.3828,-7.0078,-11.2188,-5.3203
-9.3984,-6.9453,-11.1484,-5.2812
-9.3828,-6.9844,-11.0938,-5.2109
-9.2891,-6.875,-11.125,-5.1719
-9.2969,-6.9297,-11.0625,-5.1562
-9.2656,-6.8828,-11.0547,-5.1641
-9.2109,-6.8984,-11.0781,-5.1328
-9.2188,-6.8828,-10.9844,-5.1016
-9.1719,-6.8438,-11.0234,-5.0859
-9.2344,-6.7734,-10.9844,-5.0469
-9.1797,-6.75,-10.9844,-5.0391
-9.1562,-6.7109,-11.0078,-5.0234
-9.0781,-6.7188,-10.9766,-4.9766
-9.0547,-6.6719,-10.875,-5.0312
-9.0781,-6.6484,-10.8906,-4.9453
-9.0859,-6.6172,-10.8203,-4.9766
-9.1016,-6.6797,-10.7969,-4.9766
-9.0,-6.5781,-10.8672,-4.9766
-9.0781,-6.5781,-10.8438,-4.9297
-9.0078,-6.5469,-10.7891,-4.8438
-9.0078,-6.5547,-10.7188,-4.8828
-8.9609,-6.5781,-10.7812,-4.8125
-8.9219,-6.5078,-10.8047,-4.8984
-8.9219,-6.4844,-10.7812,-4.7734
-8.9609,-6.5312,-10.7031,-4.8594
-8.8906,-6.4609,-10.6953,-4.7344
-8.8516,-6.4297,-10.6953,-4.8125
-8.8203,-6.4062,-10.6953,-4.7812
-8.8516,-6.4609,-10.6094,-4.6797
-8.8047,-6.3516,-10.6328,-4.75
-8.8359,-6.3828,-10.6328,-4.625
-8.7344,-6.3906,-10.5156,-4.6953
-8.7344,-6.3203,-10.4844,-4.625
-8.7656,-6.3672,-10.5547,-4.5625
-8.6719,-6.3516,-10.5547,-4.625
-8.6328,-6.3203,-10.4453,-4.6328
-8.6719,-6.3047,-10.4062,-4.5234
-8.6641,-6.2422,-10.4453,-4.5156
-8.6875,-6.2109,-10.375,-4.4766
-8.6016,-6.1953,-10.3906,-4.4766
-8.5469,-6.1562,-10.4453,-4.4844
-8.5078,-6.1328,-10.3125,-4.5234
-8.4844,-6.1953,-10.2969,-4.4141
-8.5547,-6.1875,-10.2656,-4.4531
-8.5234,-6.0938,-10.2578,-4.375
-8.5234,-6.0938,-10.2969,-4.4062
-8.5156,-6.1172,-10.2266,-4.375
-8.4922,-5.9844,-10.2812,-4.3438
-8.4531,-6.0078,-10.2422,-4.2734
